King|5.5|2.027|2.072|2.254|1.843|2.037
Kamada|5|2.028|1.903|2.052|2.238|1.974
Robinson|4.5|1.920|2.272|2.386|1.702|1.904
Coyle|4|1.929|2.583|2.140|1.466|1.867
Thomas-Asante|5|1.690|2.685|1.794|1.954|1.844
Mitoma|6|0.000|0.974|2.843|3.408|2.626
Lindelöf|4.5|2.656|2.121|2.568|1.259|1.014
Castagne|4.5|1.786|2.156|2.320|1.546|1.804
J.Murphy|6|1.812|1.711|1.924|1.754|2.208
Mac Allister|5.5|1.361|1.812|2.093|2.128|1.934
Hjertø-Dahl|5|1.813|2.035|1.896|1.716|1.844
Gyökeres|7.5|2.374|1.698|1.783|1.742|1.682
Pau|4.5|1.639|1.569|2.297|2.079|1.653
Damsgaard|5.5|1.869|1.731|1.927|1.778|1.751
Jacquet|5|1.710|1.912|1.833|1.858|1.634
Hincapie|5.5|2.339|1.655|1.577|1.747|1.582
Clarke|5.5|1.978|1.614|1.723|1.784|1.750
Sessegnon|4.5|1.657|1.890|2.013|1.509|1.671
Joelinton|5.5|1.759|1.658|1.730|1.576|1.912
Diarra|5.5|2.192|1.846|1.645|1.463|1.460
Gomes|5.5|0.000|0.000|1.124|3.802|3.495
Mings|4.5|1.570|1.425|2.029|1.762|1.478
Hamer|5.5|1.334|2.186|1.427|1.704|1.613
Eze|6.5|2.060|1.505|1.557|1.579|1.506
Crooks|4.5|1.996|1.912|1.438|1.287|1.398
Tete|4.5|1.484|1.803|1.864|1.367|1.506
Burn|5|1.357|1.446|1.603|1.562|1.950
Touré|6|1.490|1.458|1.613|1.479|1.868
Millar|5|1.561|1.707|1.611|1.435|1.546
Sakamoto|5|1.337|1.975|1.407|1.577|1.501
White|5.5|4.033|2.008|0.534|0.586|0.522
Röhl|5|2.189|1.583|1.257|1.242|1.409
N.Gonzalez|5.5|1.891|1.424|1.519|1.304|1.495
Beto|5.5|1.611|1.462|1.449|1.402|1.681
Khusanov|5.5|1.486|1.446|1.745|1.180|1.671
Johnson|6|1.888|1.360|1.350|1.302|1.580
Maddison|6.5|0.331|1.050|1.667|2.221|2.153
Steur|5|1.532|1.408|1.474|1.342|1.602
Janelt|5|2.226|1.244|1.336|1.263|1.276
Wood|6|1.537|1.320|1.470|1.388|1.605
Strand Larsen|6|1.714|1.308|1.349|1.590|1.333
Heaven|4.5|4.000|1.810|0.493|0.462|0.489
Zubimendi|5.5|2.257|1.254|1.239|1.263|1.230
Barkley|5|1.966|1.310|1.409|1.265|1.158
Munoz|6.5|1.384|1.446|1.449|1.468|1.357
Lammens|5|3.961|3.871|3.499|2.885|3.386
Madjo|5.5|0.000|0.227|0.853|0.833|0.795
Neto|6.5|3.151|3.106|2.450|3.743|2.965
Senesi|6|1.112|1.129|1.100|1.273|1.105
Dalot|5|3.915|3.771|3.060|2.478|3.028
