element_id,web_name,first_name,second_name,club,pos,official_draft_rank
168,Marc Guiu,Marc,Guiu Paz,CHE,FWD,317
169,Mheuka,Shumaira,Mheuka,CHE,FWD,485
170,Emegha,Emmanuel,Emegha,CHE,FWD,345
171,Dovin,Oliver,Dovin,COV,GKP,565
172,Wilson,Ben,Wilson,COV,GKP,495
173,Thomas,Bobby,Thomas,COV,DEF,566
174,Kitching,Liam,Kitching,COV,DEF,567
175,van Ewijk,Milan,van Ewijk,COV,DEF,568
176,Dasilva,Jay,Dasilva,COV,DEF,569
177,Kesler-Hayden,Kaine,Kesler-Hayden,COV,DEF,570
178,Bidwell,Jake,Bidwell,COV,DEF,571
179,Latibeaudiere,Joel,Latibeaudiere,COV,DEF,572
180,Woolfenden,Luke,Woolfenden,COV,DEF,573
181,Brau,Miguel,Brau,COV,DEF,574
182,Amenda,Aurèle,Amenda,COV,DEF,575
183,Rudoni,Jack,Rudoni,COV,MID,346
184,Grimes,Matt,Grimes,COV,MID,347
185,Sakamoto,Tatsuhiro,Sakamoto,COV,MID,348
186,Mason-Clark,Ephron,Mason-Clark,COV,MID,207
187,Eccles,Josh,Eccles,COV,MID,349
188,Torp,Victor,Torp,COV,MID,208
189,Shepherd,George,Shepherd,COV,MID,496
190,Tchaouna,Loum,Tchaouna,COV,MID,209
191,Borges Rodrigues,Raphael,Borges Rodrigues,COV,MID,497
192,Andrews,Kai,Andrews,COV,MID,498
193,Wright,Haji,Wright,COV,FWD,210
194,Thomas-Asante,Brandon,Thomas-Asante,COV,FWD,350
195,Simms,Ellis,Simms,COV,FWD,351
196,Markelo,Jahnoah,Markelo,COV,FWD,352
197,Bassette,Norman,Bassette,COV,FWD,499
198,Henderson,Dean,Henderson,CRY,GKP,230
199,Benitez,Walter,Benítez,CRY,GKP,467
200,Lacroix,Maxence,Lacroix,CHE,DEF,61
201,Muñoz,Daniel,Muñoz Mejía,CRY,DEF,116
202,Richards,Chris,Richards,CRY,DEF,232
203,Canvot,Jaydee,Canvot,CRY,DEF,267
204,Mitchell,Tyrick,Mitchell,CRY,DEF,403
205,Sosa,Borna,Sosa,CRY,DEF,469
206,Chadi Riad,Chadi,Riad Dnanou,CRY,DEF,453
207,Mingueza,Oscar,Mingueza,CRY,DEF,500
208,Sarr,Ismaïla,Sarr,CRY,MID,39
209,Johnson,Brennan,Johnson,EVE,MID,96
210,Wharton,Adam,Wharton,CRY,MID,130
211,Yeremy,Yéremy,Pino Santos,CRY,MID,155
212,Hughes,Will,Hughes,CRY,MID,439
213,Lerma,Jefferson,Lerma Solís,CRY,MID,269
214,Kamada,Daichi,Kamada,CRY,MID,272
215,Devenny,Justin,Devenny,CRY,MID,301
216,Esse,Romain,Esse,CRY,MID,331
217,M.França,Matheus,França de Oliveira,CRY,MID,353
218,Doucouré,Cheick,Doucouré,CRY,MID,354
219,J.Rak-Sakyi,Jesurun,Rak-Sakyi,CRY,MID,355
220,Cardines,Rio,Cardines,CRY,DEF,474
221,Drakes-Thomas,Joél,Drakes-Thomas,CRY,MID,475
222,Strand Larsen,Jørgen,Strand Larsen,CRY,FWD,93
223,Mateta,Jean-Philippe,Mateta,CRY,FWD,40
224,Nketiah,Eddie,Nketiah,CRY,FWD,189
225,Uche,Christantus,Uche,CRY,FWD,312
226,Pickford,Jordan,Pickford,EVE,GKP,117
227,Travers,Mark,Travers,EVE,GKP,356
228,King,Tom,King,EVE,GKP,501
229,Tarkowski,James,Tarkowski,EVE,DEF,58
230,Branthwaite,Jarrad,Branthwaite,EVE,DEF,184
231,Keane,Michael,Keane,EVE,DEF,231
232,O'Brien,Jake,O'Brien,EVE,DEF,238
233,Mykolenko,Vitalii,Mykolenko,EVE,DEF,418
234,Patterson,Nathan,Patterson,EVE,DEF,452
235,Aznou,Adam,Aznou,EVE,DEF,576
236,Dewsbury-Hall,Kiernan,Dewsbury-Hall,EVE,MID,35
237,Ndiaye,Iliman,Ndiaye,EVE,MID,71
238,Grealish,Jack,Grealish,MCI,MID,42
239,Garner,James,Garner,EVE,MID,60
240,Iroegbunam,Tim,Iroegbunam,EVE,MID,270
241,McNeil,Dwight,McNeil,CRY,MID,168
242,George,Tyrique,George,EVE,MID,197
243,Alcaraz,Carlos,Alcaraz Durán,EVE,MID,308
244,Armstrong,Harrison,Armstrong,EVE,MID,310
245,Dibling,Tyler,Dibling,EVE,MID,191
246,Röhl,Merlin,Röhl,EVE,MID,302
247,Hackney,Hayden,Hackney,EVE,MID,211
248,Beto,Norberto Bercique,Gomes Betuncal,EVE,FWD,135
249,Barry,Thierno,Barry,EVE,FWD,140
250,Leno,Bernd,Leno,FUL,GKP,406
251,Lecomte,Benjamin,Lecomte,FUL,GKP,577
252,McNally,Alfie,McNally,FUL,GKP,578
253,Andersen,Joachim,Andersen,FUL,DEF,236
254,Robinson,Antonee,Robinson,FUL,DEF,430
255,J.Cuenca,Jorge,Cuenca Barreno,FUL,DEF,444
256,Tete,Kenny,Tete,FUL,DEF,423
257,Bassey,Calvin,Bassey,FUL,DEF,413
258,Castagne,Timothy,Castagne,FUL,DEF,432
259,Diop,Issa,Diop,IPS,DEF,548
260,Wilson,Harry,Wilson,LEE,MID,33
261,Iwobi,Alex,Iwobi,FUL,MID,137
262,Smith Rowe,Emile,Smith Rowe,FUL,MID,152
263,Kevin,Kevin,Santos Lopes de Macedo,FUL,MID,170
264,Bobb,Oscar,Bobb,FUL,MID,178
265,Berge,Sander,Berge,FUL,MID,254
266,Cairney,Tom,Cairney,FUL,MID,296
267,Lukić,Saša,Lukić,IPS,MID,273
268,King,Josh,King,FUL,MID,163
269,Sessegnon,Ryan,Sessegnon,FUL,DEF,419
270,Reed,Harrison,Reed,FUL,MID,459
271,Muniz,Rodrigo,Muniz Carvalho,FUL,FWD,182
272,Kusi-Asare,Jonah,Kusi-Asare,FUL,FWD,470
273,Phillips,Dillon,Phillips,HUL,GKP,579
274,Butland,Jack,Butland,HUL,GKP,502
275,Cartwright,Harvey,Cartwright,HUL,GKP,580
276,Lo-Tutala,Thimothée,Lo-Tutala,HUL,GKP,581
277,Egan,John,Egan,HUL,DEF,582
278,Hughes,Charlie,Hughes,HUL,DEF,583
279,Ajayi,Semi,Ajayi,HUL,DEF,584
280,Coyle,Lewie,Coyle,HUL,DEF,585
281,Drameh,Cody,Drameh,HUL,DEF,586
282,Giles,Ryan,Giles,HUL,DEF,587
283,Jacob,Matty,Jacob,HUL,DEF,588
284,McCarthy,Cathal,McCarthy,HUL,DEF,589
285,McNair,Paddy,McNair,HUL,DEF,590
286,Belloumi,Mohamed,Belloumi,HUL,MID,357
287,Millar,Liam,Millar,HUL,MID,358
288,Dowell,Kieran,Dowell,HUL,MID,503
289,Crooks,Matt,Crooks,HUL,MID,504
290,Slater,Regan,Slater,HUL,MID,505
291,Matazo,Eliot,Matazo,HUL,MID,506
292,Ömür,Abdülkadir,Ömür,HUL,MID,359
293,Kamara,Abu,Kamara,HUL,MID,360
294,Zambrano,Óscar,Zambrano,HUL,MID,507
295,McBurnie,Oli,McBurnie,HUL,FWD,212
296,Akintola,David,Akintola,HUL,MID,361
297,Gyabi,Darko,Gyabi,HUL,MID,508
298,Destan,Enis,Destan,HUL,FWD,509
299,Burstow,Mason,Burstow,HUL,FWD,510
300,Walton,Christian,Walton,IPS,GKP,511
301,Palmer,Alex,Palmer,IPS,GKP,591
302,Button,David,Button,IPS,GKP,592
303,Kipré,Cédric,Kipré,IPS,DEF,593
304,O'Shea,Dara,O'Shea,IPS,DEF,594
305,Davis,Leif,Davis,IPS,DEF,595
306,Greaves,Jacob,Greaves,IPS,DEF,596
307,Johnson,Ben,Johnson,IPS,DEF,597
308,Furlong,Darnell,Furlong,IPS,DEF,598
309,Núñez,Marcelino,Núñez,IPS,MID,362
310,Matusiwa,Azor,Matusiwa,IPS,MID,363
311,Burns,Wes,Burns,IPS,MID,364
312,Taylor,Jack,Taylor,IPS,MID,512
313,Clarke,Jack,Clarke,IPS,MID,213
314,Ogbene,Chiedozie,Ogbene,IPS,MID,365
315,Fatawu,Abdul,Fatawu,IPS,MID,214
316,Emersonn,Emersonn,Correia da Silva,IPS,FWD,215
317,Hirst,George,Hirst,IPS,FWD,366
318,Philogene,Jaden,Philogene,IPS,MID,219
